topic,timestamp,payload
"zigbee2mqtt/bridge/logging","2025-05-01T15:06:28.894Z","{""level"":""debug"",""message"":""zh:zstack:unpi:parser: --- parseNext []""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:06:28.904Z","{""level"":""debug"",""message"":""z2m: Received Zigbee message from 'Sensor-6-OLAF', type 'commandStatusChangeNotification', cluster 'ssIasZone', data '{\""extendedstatus\"":0,\""zonestatus\"":0}' from endpoint 1 with groupID 0""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:06:28.915Z","{""level"":""debug"",""message"":""z2m: Evento Zigbee de 0x00124b002a6b60a6: tipo=commandStatusChangeNotification, cluster=ssIasZone""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:06:28.947Z","{""level"":""debug"",""message"":""z2m: Evento de zona IAS recibido de undefined: {\""zonestatus\"":0,\""extendedstatus\"":0}""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:06:28.957Z","{""level"":""debug"",""message"":""z2m: 📊 Cambio de estado para Sensor-6-OLAF: {\""contact\"":true,\""battery_low\"":false}""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:06:28.968Z","{""level"":""info"",""message"":""z2m: 📣 Sensor-6-OLAF: 🟢 CERRADO""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:06:29.005Z","{""level"":""info"",""message"":""z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/livinglab/event', payload '{\""battery\"":100,\""battery_low\"":false,\""contact\"":true,\""device\"":{\""applicationVersion\"":5,\""dateCode\"":\""20230630\"",\""friendlyName\"":\""Sensor-6-OLAF\"",\""hardwareVersion\"":1,\""ieeeAddr\"":\""0x00124b002a6b60a6\"",\""manufacturerID\"":0,\""manufacturerName\"":\""eWeLink\"",\""model\"":\""SNZB-04\"",\""powerSource\"":\""Battery\"",\""type\"":\""EndDevice\"",\""zclVersion\"":1},\""linkquality\"":109,\""voltage\"":3100}'""}"
"zigbee2mqtt/livinglab/event","2025-05-01T15:06:29.015Z","{""battery"":100,""battery_low"":false,""contact"":true,""device"":{""applicationVersion"":5,""dateCode"":""20230630"",""friendlyName"":""Sensor-6-OLAF"",""hardwareVersion"":1,""ieeeAddr"":""0x00124b002a6b60a6"",""manufacturerID"":0,""manufacturerName"":""eWeLink"",""model"":""SNZB-04"",""powerSource"":""Battery"",""type"":""EndDevice"",""zclVersion"":1},""linkquality"":109,""voltage"":3100}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:06:29.021Z","{""level"":""info"",""message"":""z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/livinglab/device/0x00124b002a6b60a6', payload '{\""battery\"":100,\""battery_low\"":false,\""contact\"":true,\""device\"":{\""applicationVersion\"":5,\""dateCode\"":\""20230630\"",\""friendlyName\"":\""Sensor-6-OLAF\"",\""hardwareVersion\"":1,\""ieeeAddr\"":\""0x00124b002a6b60a6\"",\""manufacturerID\"":0,\""manufacturerName\"":\""eWeLink\"",\""model\"":\""SNZB-04\"",\""powerSource\"":\""Battery\"",\""type\"":\""EndDevice\"",\""zclVersion\"":1},\""linkquality\"":109,\""voltage\"":3100}'""}"
"zigbee2mqtt/livinglab/device/0x00124b002a6b60a6","2025-05-01T15:06:29.054Z","{""battery"":100,""battery_low"":false,""contact"":true,""device"":{""applicationVersion"":5,""dateCode"":""20230630"",""friendlyName"":""Sensor-6-OLAF"",""hardwareVersion"":1,""ieeeAddr"":""0x00124b002a6b60a6"",""manufacturerID"":0,""manufacturerName"":""eWeLink"",""model"":""SNZB-04"",""powerSource"":""Battery"",""type"":""EndDevice"",""zclVersion"":1},""linkquality"":109,""voltage"":3100}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:06:29.054Z","{""level"":""info"",""message"":""z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/livinglab/event_new', payload '{\""device\"":\""Sensor-6-OLAF\"",\""ieeeAddr\"":\""0x00124b002a6b60a6\"",\""type\"":\""contact\"",\""state\"":\""closed\"",\""battery\"":100,\""voltage\"":3100,\""timestamp\"":1746111988797}'""}"
"zigbee2mqtt/livinglab/event_new","2025-05-01T15:06:29.063Z","{""device"":""Sensor-6-OLAF"",""ieeeAddr"":""0x00124b002a6b60a6"",""type"":""contact"",""state"":""closed"",""battery"":100,""voltage"":3100,""timestamp"":1746111988797}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:06:29.094Z","{""level"":""info"",""message"":""z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/livinglab/sensors', payload '{\""count\"":6,\""sensors\"":[{\""ieeeAddr\"":\""0x00124b002a6b62b7\"",\""friendlyName\"":\""Sensor-4-despacho\"",\""modelID\"":\""unknown\"",\""model\"":\""SNZB-04\"",\""manufacturerName\"":\""unknown\"",\""lastUpdate\"":1746111967983,\""firstSeen\"":1746111294736,\""hasExternalConverter\"":false,\""state\"":{\""contact\"":true,\""battery_low\"":false,\""last_seen\"":\""2025-04-26T01:58:34+02:00\"",\""linkquality\"":102,\""voltage\"":3100,\""battery\"":100},\""processed\"":{\""contact\"":false,\""battery\"":100,\""voltage\"":3100,\""battery_low\"":false,\""lastUpdateHuman\"":\""5/1/2025, 5:06:07 PM\""}},{\""ieeeAddr\"":\""0x00124b00292c38e7\"",\""friendlyName\"":\""sensor2-1948-Info-dudosa\"",\""modelID\"":\""unknown\"",\""model\"":\""SNZB-04\"",\""manufacturerName\"":\""unknown\"",\""lastUpdate\"":1746111294793,\""firstSeen\"":1746111294793,\""hasExternalConverter\"":false,\""state\"":{\""contact\"":true,\""battery_low\"":false,\""last_seen\"":\""2025-04-26T01:58:48+02:00\"",\""linkquality\"":105},\""processed\"":{\""contact\"":false,\""battery_low\"":false,\""lastUpdateHuman\"":\""5/1/2025, 4:54:54 PM\""}},{\""ieeeAddr\"":\""0x00124b002a5705d0\"",\""friendlyName\"":\""sensor-3\"",\""modelID\"":\""unknown\"",\""model\"":\""SNZB-04\"",\""manufacturerName\"":\""unknown\"",\""lastUpdate\"":1746111294795,\""firstSeen\"":1746111294795,\""hasExternalConverter\"":false,\""state\"":{\""voltage\"":3100,\""battery\"":100,\""contact\"":true,\""battery_low\"":false,\""last_seen\"":\""2025-04-09T09:00:42+02:00\"",\""linkquality\"":123},\""processed\"":{\""contact\"":false,\""battery\"":100,\""voltage\"":3100,\""battery_low\"":false,\""lastUpdateHuman\"":\""5/1/2025, 4:54:54 PM\""}},{\""ieeeAddr\"":\""0x00124b00292c39a0\"",\""friendlyName\"":\""Sensor-1-Defectuoso\"",\""modelID\"":\""unknown\"",\""model\"":\""SNZB-04\"",\""manufacturerName\"":\""unknown\"",\""lastUpdate\"":1746111294841,\""firstSeen\"":1746111294841,\""hasExternalConverter\"":false,\""state\"":{\""battery\"":100,\""voltage\"":3000,\""last_seen\"":\""2025-04-26T01:59:16+02:00\"",\""linkquality\"":127,\""contact\"":true,\""battery_low\"":false},\""processed\"":{\""contact\"":false,\""battery\"":100,\""voltage\"":3000,\""battery_low\"":false,\""lastUpdateHuman\"":\""5/1/2025, 4:54:54 PM\""}},{\""ieeeAddr\"":\""0x00124b00292d93d5\"",\""friendlyName\"":\""Nuevo-s5-etiqueta-Rosa\"",\""modelID\"":\""unknown\"",\""model\"":\""SNZB-04\"",\""manufacturerName\"":\""unknown\"",\""lastUpdate\"":1746111294843,\""firstSeen\"":1746111294843,\""hasExternalConverter\"":false,\""state\"":{\""battery\"":100,\""contact\"":false,\""battery_low\"":false,\""voltage\"":3100,\""last_seen\"":\""2025-04-09T14:55:44+02:00\"",\""linkquality\"":182},\""processed\"":{\""contact\"":true,\""battery\"":100,\""voltage\"":3100,\""battery_low\"":false,\""lastUpdateHuman\"":\""5/1/2025, 4:54:54 PM\""}},{\""ieeeAddr\"":\""0x00124b002a6b60a6\"",\""friendlyName\"":\""Sensor-6-OLAF\"",\""modelID\"":\""unknown\"",\""model\"":\""SNZB-04\"",\""manufacturerName\"":\""unknown\"",\""lastUpdate\"":1746111988797,\""firstSeen\"":1746111294845,\""hasExternalConverter\"":false,\""state\"":{\""battery\"":100,\""voltage\"":3100,\""contact\"":true,\""battery_low\"":false,\""last_seen\"":\""2025-04-26T01:58:40+02:00\"",\""linkquality\"":109},\""processed\"":{\""contact\"":false,\""battery\"":100,\""voltage\"":3100,\""battery_low\"":false,\""lastUpdateHuman\"":\""5/1/2025, 5:06:28 PM\""}}],\""timestamp\"":1746111988797}'""}"
"zigbee2mqtt/livinglab/sensors","2025-05-01T15:06:29.105Z","{""count"":6,""sensors"":[{""ieeeAddr"":""0x00124b002a6b62b7"",""friendlyName"":""Sensor-4-despacho"",""modelID"":""unknown"",""model"":""SNZB-04"",""manufacturerName"":""unknown"",""lastUpdate"":1746111967983,""firstSeen"":1746111294736,""hasExternalConverter"":false,""state"":{""contact"":true,""battery_low"":false,""last_seen"":""2025-04-26T01:58:34+02:00"",""linkquality"":102,""voltage"":3100,""battery"":100},""processed"":{""contact"":false,""battery"":100,""voltage"":3100,""battery_low"":false,""lastUpdateHuman"":""5/1/2025, 5:06:07 PM""}},{""ieeeAddr"":""0x00124b00292c38e7"",""friendlyName"":""sensor2-1948-Info-dudosa"",""modelID"":""unknown"",""model"":""SNZB-04"",""manufacturerName"":""unknown"",""lastUpdate"":1746111294793,""firstSeen"":1746111294793,""hasExternalConverter"":false,""state"":{""contact"":true,""battery_low"":false,""last_seen"":""2025-04-26T01:58:48+02:00"",""linkquality"":105},""processed"":{""contact"":false,""battery_low"":false,""lastUpdateHuman"":""5/1/2025, 4:54:54 PM""}},{""ieeeAddr"":""0x00124b002a5705d0"",""friendlyName"":""sensor-3"",""modelID"":""unknown"",""model"":""SNZB-04"",""manufacturerName"":""unknown"",""lastUpdate"":1746111294795,""firstSeen"":1746111294795,""hasExternalConverter"":false,""state"":{""voltage"":3100,""battery"":100,""contact"":true,""battery_low"":false,""last_seen"":""2025-04-09T09:00:42+02:00"",""linkquality"":123},""processed"":{""contact"":false,""battery"":100,""voltage"":3100,""battery_low"":false,""lastUpdateHuman"":""5/1/2025, 4:54:54 PM""}},{""ieeeAddr"":""0x00124b00292c39a0"",""friendlyName"":""Sensor-1-Defectuoso"",""modelID"":""unknown"",""model"":""SNZB-04"",""manufacturerName"":""unknown"",""lastUpdate"":1746111294841,""firstSeen"":1746111294841,""hasExternalConverter"":false,""state"":{""battery"":100,""voltage"":3000,""last_seen"":""2025-04-26T01:59:16+02:00"",""linkquality"":127,""contact"":true,""battery_low"":false},""processed"":{""contact"":false,""battery"":100,""voltage"":3000,""battery_low"":false,""lastUpdateHuman"":""5/1/2025, 4:54:54 PM""}},{""ieeeAddr"":""0x00124b00292d93d5"",""friendlyName"":""Nuevo-s5-etiqueta-Rosa"",""modelID"":""unknown"",""model"":""SNZB-04"",""manufacturerName"":""unknown"",""lastUpdate"":1746111294843,""firstSeen"":1746111294843,""hasExternalConverter"":false,""state"":{""battery"":100,""contact"":false,""battery_low"":false,""voltage"":3100,""last_seen"":""2025-04-09T14:55:44+02:00"",""linkquality"":182},""processed"":{""contact"":true,""battery"":100,""voltage"":3100,""battery_low"":false,""lastUpdateHuman"":""5/1/2025, 4:54:54 PM""}},{""ieeeAddr"":""0x00124b002a6b60a6"",""friendlyName"":""Sensor-6-OLAF"",""modelID"":""unknown"",""model"":""SNZB-04"",""manufacturerName"":""unknown"",""lastUpdate"":1746111988797,""firstSeen"":1746111294845,""hasExternalConverter"":false,""state"":{""battery"":100,""voltage"":3100,""contact"":true,""battery_low"":false,""last_seen"":""2025-04-26T01:58:40+02:00"",""linkquality"":109},""processed"":{""contact"":false,""battery"":100,""voltage"":3100,""battery_low"":false,""lastUpdateHuman"":""5/1/2025, 5:06:28 PM""}}],""timestamp"":1746111988797}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:06:29.113Z","{""level"":""info"",""message"":""z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/livinglab/sensors_compatible', payload '{\""0x00124b002a6b62b7\"":{\""battery\"":100,\""battery_low\"":false,\""contact\"":true,\""device\"":{\""applicationVersion\"":5,\""dateCode\"":\""20230630\"",\""friendlyName\"":\""Sensor-4-despacho\"",\""hardwareVersion\"":1,\""ieeeAddr\"":\""0x00124b002a6b62b7\"",\""manufacturerID\"":0,\""manufacturerName\"":\""unknown\"",\""model\"":\""SNZB-04\"",\""networkAddress\"":0,\""powerSource\"":\""Battery\"",\""type\"":\""EndDevice\"",\""zclVersion\"":1},\""linkquality\"":102,\""voltage\"":3100},\""0x00124b00292c38e7\"":{\""battery_low\"":false,\""contact\"":true,\""device\"":{\""applicationVersion\"":5,\""dateCode\"":\""20230630\"",\""friendlyName\"":\""sensor2-1948-Info-dudosa\"",\""hardwareVersion\"":1,\""ieeeAddr\"":\""0x00124b00292c38e7\"",\""manufacturerID\"":0,\""manufacturerName\"":\""unknown\"",\""model\"":\""SNZB-04\"",\""networkAddress\"":0,\""powerSource\"":\""Battery\"",\""type\"":\""EndDevice\"",\""zclVersion\"":1},\""linkquality\"":105},\""0x00124b002a5705d0\"":{\""battery\"":100,\""battery_low\"":false,\""contact\"":true,\""device\"":{\""applicationVersion\"":5,\""dateCode\"":\""20230630\"",\""friendlyName\"":\""sensor-3\"",\""hardwareVersion\"":1,\""ieeeAddr\"":\""0x00124b002a5705d0\"",\""manufacturerID\"":0,\""manufacturerName\"":\""unknown\"",\""model\"":\""SNZB-04\"",\""networkAddress\"":0,\""powerSource\"":\""Battery\"",\""type\"":\""EndDevice\"",\""zclVersion\"":1},\""linkquality\"":123,\""voltage\"":3100},\""0x00124b00292c39a0\"":{\""battery\"":100,\""battery_low\"":false,\""contact\"":true,\""device\"":{\""applicationVersion\"":5,\""dateCode\"":\""20230630\"",\""friendlyName\"":\""Sensor-1-Defectuoso\"",\""hardwareVersion\"":1,\""ieeeAddr\"":\""0x00124b00292c39a0\"",\""manufacturerID\"":0,\""manufacturerName\"":\""unknown\"",\""model\"":\""SNZB-04\"",\""networkAddress\"":0,\""powerSource\"":\""Battery\"",\""type\"":\""EndDevice\"",\""zclVersion\"":1},\""linkquality\"":127,\""voltage\"":3000},\""0x00124b00292d93d5\"":{\""battery\"":100,\""battery_low\"":false,\""contact\"":false,\""device\"":{\""applicationVersion\"":5,\""dateCode\"":\""20230630\"",\""friendlyName\"":\""Nuevo-s5-etiqueta-Rosa\"",\""hardwareVersion\"":1,\""ieeeAddr\"":\""0x00124b00292d93d5\"",\""manufacturerID\"":0,\""manufacturerName\"":\""unknown\"",\""model\"":\""SNZB-04\"",\""networkAddress\"":0,\""powerSource\"":\""Battery\"",\""type\"":\""EndDevice\"",\""zclVersion\"":1},\""linkquality\"":182,\""voltage\"":3100},\""0x00124b002a6b60a6\"":{\""battery\"":100,\""battery_low\"":false,\""contact\"":true,\""device\"":{\""applicationVersion\"":5,\""dateCode\"":\""20230630\"",\""friendlyName\"":\""Sensor-6-OLAF\"",\""hardwareVersion\"":1,\""ieeeAddr\"":\""0x00124b002a6b60a6\"",\""manufacturerID\"":0,\""manufacturerName\"":\""unknown\"",\""model\"":\""SNZB-04\"",\""networkAddress\"":0,\""powerSource\"":\""Battery\"",\""type\"":\""EndDevice\"",\""zclVersion\"":1},\""linkquality\"":109,\""voltage\"":3100}}'""}"
"zigbee2mqtt/livinglab/sensors_compatible","2025-05-01T15:06:29.152Z","{""0x00124b002a6b62b7"":{""battery"":100,""battery_low"":false,""contact"":true,""device"":{""applicationVersion"":5,""dateCode"":""20230630"",""friendlyName"":""Sensor-4-despacho"",""hardwareVersion"":1,""ieeeAddr"":""0x00124b002a6b62b7"",""manufacturerID"":0,""manufacturerName"":""unknown"",""model"":""SNZB-04"",""networkAddress"":0,""powerSource"":""Battery"",""type"":""EndDevice"",""zclVersion"":1},""linkquality"":102,""voltage"":3100},""0x00124b00292c38e7"":{""battery_low"":false,""contact"":true,""device"":{""applicationVersion"":5,""dateCode"":""20230630"",""friendlyName"":""sensor2-1948-Info-dudosa"",""hardwareVersion"":1,""ieeeAddr"":""0x00124b00292c38e7"",""manufacturerID"":0,""manufacturerName"":""unknown"",""model"":""SNZB-04"",""networkAddress"":0,""powerSource"":""Battery"",""type"":""EndDevice"",""zclVersion"":1},""linkquality"":105},""0x00124b002a5705d0"":{""battery"":100,""battery_low"":false,""contact"":true,""device"":{""applicationVersion"":5,""dateCode"":""20230630"",""friendlyName"":""sensor-3"",""hardwareVersion"":1,""ieeeAddr"":""0x00124b002a5705d0"",""manufacturerID"":0,""manufacturerName"":""unknown"",""model"":""SNZB-04"",""networkAddress"":0,""powerSource"":""Battery"",""type"":""EndDevice"",""zclVersion"":1},""linkquality"":123,""voltage"":3100},""0x00124b00292c39a0"":{""battery"":100,""battery_low"":false,""contact"":true,""device"":{""applicationVersion"":5,""dateCode"":""20230630"",""friendlyName"":""Sensor-1-Defectuoso"",""hardwareVersion"":1,""ieeeAddr"":""0x00124b00292c39a0"",""manufacturerID"":0,""manufacturerName"":""unknown"",""model"":""SNZB-04"",""networkAddress"":0,""powerSource"":""Battery"",""type"":""EndDevice"",""zclVersion"":1},""linkquality"":127,""voltage"":3000},""0x00124b00292d93d5"":{""battery"":100,""battery_low"":false,""contact"":false,""device"":{""applicationVersion"":5,""dateCode"":""20230630"",""friendlyName"":""Nuevo-s5-etiqueta-Rosa"",""hardwareVersion"":1,""ieeeAddr"":""0x00124b00292d93d5"",""manufacturerID"":0,""manufacturerName"":""unknown"",""model"":""SNZB-04"",""networkAddress"":0,""powerSource"":""Battery"",""type"":""EndDevice"",""zclVersion"":1},""linkquality"":182,""voltage"":3100},""0x00124b002a6b60a6"":{""battery"":100,""battery_low"":false,""contact"":true,""device"":{""applicationVersion"":5,""dateCode"":""20230630"",""friendlyName"":""Sensor-6-OLAF"",""hardwareVersion"":1,""ieeeAddr"":""0x00124b002a6b60a6"",""manufacturerID"":0,""manufacturerName"":""unknown"",""model"":""SNZB-04"",""networkAddress"":0,""powerSource"":""Battery"",""type"":""EndDevice"",""zclVersion"":1},""linkquality"":109,""voltage"":3100}}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:06:29.162Z","{""level"":""info"",""message"":""z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/livinglab/simple_sensors', payload '{\""0x00124b002a6b62b7\"":{\""name\"":\""Sensor-4-despacho\"",\""contact\"":false,\""battery\"":100,\""last_update\"":1746111967983},\""0x00124b00292c38e7\"":{\""name\"":\""sensor2-1948-Info-dudosa\"",\""contact\"":false,\""last_update\"":1746111294793},\""0x00124b002a5705d0\"":{\""name\"":\""sensor-3\"",\""contact\"":false,\""battery\"":100,\""last_update\"":1746111294795},\""0x00124b00292c39a0\"":{\""name\"":\""Sensor-1-Defectuoso\"",\""contact\"":false,\""battery\"":100,\""last_update\"":1746111294841},\""0x00124b00292d93d5\"":{\""name\"":\""Nuevo-s5-etiqueta-Rosa\"",\""contact\"":true,\""battery\"":100,\""last_update\"":1746111294843},\""0x00124b002a6b60a6\"":{\""name\"":\""Sensor-6-OLAF\"",\""contact\"":false,\""battery\"":100,\""last_update\"":1746111988797}}'""}"
"zigbee2mqtt/livinglab/simple_sensors","2025-05-01T15:06:29.177Z","{""0x00124b002a6b62b7"":{""name"":""Sensor-4-despacho"",""contact"":false,""battery"":100,""last_update"":1746111967983},""0x00124b00292c38e7"":{""name"":""sensor2-1948-Info-dudosa"",""contact"":false,""last_update"":1746111294793},""0x00124b002a5705d0"":{""name"":""sensor-3"",""contact"":false,""battery"":100,""last_update"":1746111294795},""0x00124b00292c39a0"":{""name"":""Sensor-1-Defectuoso"",""contact"":false,""battery"":100,""last_update"":1746111294841},""0x00124b00292d93d5"":{""name"":""Nuevo-s5-etiqueta-Rosa"",""contact"":true,""battery"":100,""last_update"":1746111294843},""0x00124b002a6b60a6"":{""name"":""Sensor-6-OLAF"",""contact"":false,""battery"":100,""last_update"":1746111988797}}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:06:29.217Z","{""level"":""info"",""message"":""z2m: 📋 Lista de 6 sensores publicada""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:06:29.232Z","{""level"":""debug"",""message"":""z2m: Sensores: [\""Sensor-4-despacho\"",\""sensor2-1948-Info-dudosa\"",\""sensor-3\"",\""Sensor-1-Defectuoso\"",\""Nuevo-s5-etiqueta-Rosa\"",\""Sensor-6-OLAF\""]""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:06:29.242Z","{""level"":""info"",""message"":""z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Sensor-6-OLAF', payload '{\""battery\"":100,\""battery_low\"":false,\""contact\"":true,\""device\"":{\""applicationVersion\"":5,\""dateCode\"":\""20230630\"",\""friendlyName\"":\""Sensor-6-OLAF\"",\""hardwareVersion\"":1,\""ieeeAddr\"":\""0x00124b002a6b60a6\"",\""manufacturerID\"":0,\""manufacturerName\"":\""eWeLink\"",\""model\"":\""SNZB-04\"",\""networkAddress\"":52218,\""powerSource\"":\""Battery\"",\""type\"":\""EndDevice\"",\""zclVersion\"":1},\""last_seen\"":\""2025-05-01T17:06:28+02:00\"",\""linkquality\"":14,\""voltage\"":3100}'""}"
"zigbee2mqtt/Sensor-6-OLAF","2025-05-01T15:06:29.277Z","{""battery"":100,""battery_low"":false,""contact"":true,""device"":{""applicationVersion"":5,""dateCode"":""20230630"",""friendlyName"":""Sensor-6-OLAF"",""hardwareVersion"":1,""ieeeAddr"":""0x00124b002a6b60a6"",""manufacturerID"":0,""manufacturerName"":""eWeLink"",""model"":""SNZB-04"",""networkAddress"":52218,""powerSource"":""Battery"",""type"":""EndDevice"",""zclVersion"":1},""last_seen"":""2025-05-01T17:06:28+02:00"",""linkquality"":14,""voltage"":3100}"
